issue	severity	kind	type	reach	readiness	age	settled	pr
2355	0		1	2	0	1	0	
2368	0		2	3	2	1	0	
2371	0		1	2	3	1	0	
2372	0		1	1	2	1	-3	
2378	0		0	2	0	1	-2	
2385	4	wrong-answer	2	3	2	1	0	
2402	0		1	1	0	1	0	2365
2403	4	wrong-answer	2	1	1	1	0	
2477	0		1	1	0	1	-2	
2490	0		2	2	1	1	0	
2499	0		2	1	0	1	0	
2511	0		2	2	1	1	0	
2512	0		2	2	1	1	0	
2516	0		1	1	2	1	0	
2532	0		0	2	0	1	0	
2561	0		0	2	0	1	0	
2562	2	leak	2	1	0	1	0	
2563	0		2	3	1	1	0	
2568	0		0	2	2	1	0	
2569	0		0	2	3	1	0	
2580	0		2	3	0	1	0	
2581	0		0	2	1	1	0	
2582	0		2	2	2	1	0	
2596	0		2	2	2	1	0	
2604	3	crash	2	1	2	1	0	
2611	0		0	3	3	1	0	
2612	0		2	3	1	1	0	
2658	4	wrong-answer	2	1	2	1	0	
2683	3	crash	2	1	2	1	0	
2687	0		0	3	0	1	0	
2718	0		2	3	2	1	0	
2728	3	crash	2	1	0	1	-2	
2741	4	wrong-answer	2	3	3	1	0	
2758	0		0	2	2	1	-2	
2761	0		0	1	2	1	0	
2762	0		0	1	0	1	0	
2774	3	crash	2	2	3	1	0	
2779	0		2	1	3	1	0	
2783	0		2	2	2	1	0	
2785	0		0	1	2	1	0	
2786	0		0	2	3	1	0	
2789	3	hang	2	3	3	1	0	3481,4087
2808	0		0	3	3	1	0	
2810	0		2	2	1	1	0	
2820	0		2	3	3	1	0	
2822	0		2	1	2	1	0	
2826	0		2	2	3	1	0	
2831	3	crash	2	2	3	1	0	
2838	0		1	2	0	1	0	
2839	0		2	2	2	1	0	
2847	0		2	2	2	1	0	
2867	0		2	2	3	1	0	
2882	0		0	3	1	1	-3	
2888	3	crash	2	3	3	1	0	
2891	0		0	3	1	1	-2	
2895	0		0	2	2	1	0	3228
2897	0		0	2	1	1	-3	
2899	3	hang	0	3	0	1	-3	
2902	4	wrong-answer	0	3	1	1	0	
2905	0		2	3	3	1	0	
2921	0		0	2	3	1	0	
2931	0		2	2	0	1	0	
2932	4	wrong-answer	2	1	2	1	0	
2939	0		2	1	0	1	-2	
2990	0		2	2	1	1	0	
2992	0		2	1	2	1	0	
3001	0		0	2	0	1	0	
3007	0		2	3	1	1	-2	3118
3021	0		2	2	0	1	0	
3023	0		1	2	3	1	0	
3027	0		2	3	2	1	-2	
3030	0		2	2	1	1	0	
3035	0		2	3	3	1	-3	3013
3041	0		0	2	0	1	0	
3063	0		2	2	1	1	-3	3062
3069	0		2	2	1	1	0	
3078	0		2	3	2	1	-2	
3117	0		2	2	1	1	0	
3123	0		2	2	1	1	0	
3145	0		2	2	0	1	0	3741
3155	0		0	2	1	1	0	
3165	0		2	3	2	1	0	
3166	0		2	2	3	1	0	
3171	0		2	1	0	1	0	
3181	0		2	1	2	1	0	
3182	0		0	2	1	1	0	
3185	0		0	2	0	1	0	
3194	0		0	2	2	1	0	
3211	0		0	2	0	1	0	
3229	0		0	2	1	1	0	
3230	0		0	1	0	1	-2	
3238	0		2	1	2	1	0	4345
3243	0		2	2	1	1	0	
3245	0		0	2	2	1	0	
3252	0		2	3	1	1	-2	
3256	0		2	3	1	1	0	
3268	0		0	2	0	1	-2	
3284	4	wrong-answer	2	3	0	1	-2	
3290	0		0	1	1	1	0	
3296	3	hang	2	1	0	1	-3	
3308	0		2	2	3	1	0	
3310	0		2	2	3	1	0	
3322	0		0	2	0	1	0	
3330	0		0	1	2	1	0	3298
3340	0		2	3	3	1	0	
3352	0		2	3	1	1	0	
3354	0		0	2	3	1	0	
3356	4	wrong-answer	2	3	0	1	0	
3369	0		1	2	2	1	0	
3371	0		2	2	0	1	0	3144
3372	0		0	2	0	1	0	226,421
3384	0		1	1	1	1	-3	
3406	0		2	2	0	1	0	
3408	0		1	2	2	1	0	
3413	0		2	2	1	1	0	
3420	0		0	1	0	1	0	
3422	0		1	1	0	1	0	4268,4466,4643
3439	3	crash	2	3	0	1	0	
3443	0		0	2	2	1	0	
3446	0		1	1	0	1	0	
3449	1	bad-error	2	2	1	1	0	
3450	0		0	1	0	1	-2	
3454	3	crash	0	1	2	1	0	
3459	0		0	3	2	1	0	
3480	0		2	2	2	1	0	
3484	0		0	1	2	1	0	3474
3486	0		1	1	2	1	0	
3491	0		0	2	2	1	0	
3495	3	hang	2	2	3	1	-2	
3497	3	crash	2	3	2	1	0	3499
3500	0		1	1	2	1	0	
3502	0		2	3	3	1	0	
3513	0		2	3	2	1	-2	
3515	0		0	2	2	1	0	
3533	0		1	1	2	1	0	4375
3537	0		0	2	1	1	0	
3543	0		2	2	2	1	0	3803,4375
3546	0		2	2	2	1	0	3144,3544
3555	3	crash	2	1	2	1	0	
3557	0		0	3	1	1	0	
3575	0		2	1	2	1	0	3582
3576	0		2	1	0	1	0	
3577	0		0	3	2	1	-3	3582
3578	4	wrong-answer	2	3	1	1	0	3582
3580	0		0	2	0	1	0	
3581	0		2	3	1	1	0	
3589	0		0	2	2	1	0	
3593	0		0	2	1	1	0	3599
3596	0		0	2	1	1	0	
3598	0		0	2	0	1	-2	
3601	0		2	1	2	1	0	
3608	0		0	2	1	1	0	
3613	4	wrong-answer	2	2	0	1	-2	
3616	0		0	2	0	1	0	
3622	4	wrong-answer	2	3	1	2	0	
3634	0		2	2	1	2	0	
3646	0		2	1	0	2	0	
3656	0		2	3	2	2	0	
3661	0		2	3	2	2	0	4588
3666	0		2	1	2	2	0	
3671	0		0	2	1	2	-3	
3689	0		0	1	1	2	0	
3701	0		2	1	2	2	0	
3712	0		2	1	2	2	-3	
3719	0		2	2	1	2	0	
3721	0		2	3	3	2	0	
3738	3	crash	2	3	2	2	0	
3747	0		0	2	0	2	0	
3759	0		2	2	2	2	0	
3778	0		1	3	2	2	0	
3784	0		2	1	0	2	0	
3785	4	wrong-answer	2	3	3	2	0	
3799	0		0	1	0	2	0	3797
3802	0		1	3	2	2	0	4322
3820	0		2	1	0	2	0	
3829	0		0	2	2	2	0	
3834	0		2	2	1	2	0	
3842	0		0	1	2	2	0	
3843	0		0	2	2	2	0	
3844	0		0	2	2	2	0	
3847	0		2	2	2	2	0	
3848	0		2	2	2	2	0	3903,4588
3849	0		2	1	0	2	-2	
3856	0		2	2	0	2	0	
3861	0		2	2	2	2	0	3582
3863	0		2	2	2	2	0	
3868	0		2	1	3	2	-2	3807
3870	0		0	2	1	2	0	
3878	0		2	1	0	2	0	2722
3881	0		2	3	2	2	-3	
3885	3	crash	2	2	2	2	0	
3887	4	wrong-answer	2	3	1	2	0	
3891	0		0	2	0	2	0	3431
3892	0		0	2	2	2	0	
3895	3	crash	2	3	3	2	0	4086
3904	4	wrong-answer	2	1	3	2	0	4395
3917	0		2	3	3	2	0	
3943	0		2	2	2	2	-2	4395
3950	0		2	2	3	2	0	
3953	0		2	1	3	2	-2	4395
3954	0		2	2	3	2	0	
3957	3	hang	0	2	0	2	0	
3958	0		0	2	2	2	0	4387
3961	0		2	3	2	2	0	
3971	4	wrong-answer	0	3	1	2	0	
3973	3	crash	2	2	3	2	0	
3979	3	crash	2	3	2	2	0	
3985	0		2	1	2	2	0	
3988	0		2	1	2	2	0	3965
3993	0		2	2	2	2	0	
3998	0		2	2	3	2	0	4395
4004	0		0	2	2	2	0	
4006	0		2	3	0	2	0	
4015	4	wrong-answer	1	3	3	2	-3	
4023	0		0	1	2	2	0	
4027	3	crash	2	2	2	2	0	
4030	0		1	1	0	2	0	
4066	0		1	1	0	2	0	4306
4067	0		0	2	0	2	0	
4068	0		1	2	1	2	0	
4082	0		2	2	3	2	0	4087
4089	3	crash	2	1	2	2	-2	
4095	4	wrong-answer	2	3	1	2	0	3018
4109	0		2	1	0	2	0	
4117	0		1	1	2	2	0	
4143	3	crash	2	3	2	2	0	
4144	3	crash	0	2	2	2	0	
4149	0		2	2	3	2	0	
4151	0		2	2	1	2	0	
4155	4	wrong-answer	2	3	2	2	0	
4157	0		2	1	1	2	0	
4159	0		2	1	2	2	0	
4161	0		0	1	2	2	0	
4168	0		0	1	0	2	0	
4169	0		0	1	1	2	0	
4170	3	crash	2	2	3	2	0	
4177	0		2	1	0	2	0	
4178	0		0	1	2	2	0	
4179	0		0	2	2	2	0	
4182	0		0	1	0	2	0	
4183	0		0	1	0	2	0	
4184	0		0	1	1	2	0	
4193	0		0	2	0	2	-3	
4194	0		0	2	1	2	0	
4198	0		2	1	0	2	0	
4201	0		1	2	1	2	0	
4202	0		0	1	2	2	0	
4209	0		0	1	0	2	0	
4226	3	crash	2	3	2	2	0	
4228	0		0	1	2	2	0	
4230	0		1	2	1	2	0	
4231	0		0	2	2	2	0	
4257	0		0	3	0	2	0	
4271	0		0	2	2	2	0	
4276	0		2	2	3	2	0	
4278	0		2	2	1	2	0	4395
4292	0		2	1	0	2	0	
4294	3	crash	2	2	0	2	-3	
4302	0		0	1	0	2	0	
4305	0		2	2	2	2	0	
4308	3	crash	2	2	2	2	-3	
4311	0		2	1	1	2	0	4310
4316	0		2	1	0	2	0	
4320	0		2	1	2	2	0	
4321	0		2	1	0	2	0	
4324	0		0	3	0	2	0	
4325	0		1	1	0	2	0	
4338	0		0	2	0	2	0	
4339	0		2	1	2	2	-3	
4342	0		1	3	2	2	0	
4356	0		2	2	2	2	0	
4368	0		2	1	2	2	0	
4376	4	wrong-answer	2	2	1	2	0	
4389	0		2	2	0	2	0	4390
4391	0		2	2	1	2	0	
4392	0		2	2	0	2	0	
4393	0		2	2	1	2	0	4532
4398	0		0	2	2	2	0	
4404	3	crash	2	2	2	2	-3	
4409	0		0	1	2	2	0	
4413	0		2	1	2	2	0	4423
4414	0		2	1	3	2	0	
4415	0		2	2	2	2	0	
4416	0		2	2	3	2	0	4347
4436	0		2	1	2	2	0	
4442	3	crash	2	2	3	2	0	
4446	0		1	1	0	2	0	
4449	0		2	1	3	2	0	
4461	0		2	2	1	2	0	
4474	0		2	2	2	2	-3	
4481	3	crash	2	2	3	2	0	
4486	0		2	2	3	2	0	
4487	0		2	2	3	2	0	
4493	0		2	2	0	2	0	
4494	0		2	2	2	0	0	
4496	0		2	2	0	0	0	
4497	0		0	2	2	0	0	
4498	0		0	2	0	0	0	
4499	0		0	3	2	0	0	
4500	1	bad-error	2	3	2	0	0	
4502	0		0	2	0	0	0	
4505	0		2	2	2	0	0	
4506	4	wrong-answer	2	3	0	0	0	
4507	0		0	2	0	0	0	
4508	0		1	1	2	0	0	
4509	0		0	1	2	0	0	
4510	0		2	2	0	0	0	
4511	4	wrong-answer	2	2	0	0	0	
4512	0		1	1	0	0	0	
4513	0		2	2	0	0	0	
4515	0		2	3	2	0	0	
4516	0		2	2	0	2	0	
4517	0		1	1	0	0	0	
4518	0		0	3	2	0	-2	
4520	0		2	2	1	2	0	
4521	4	wrong-answer	2	2	2	0	0	
4522	0		1	2	2	0	0	
4523	0		1	1	2	0	0	
4524	0		0	3	0	0	0	
4525	3	crash	2	2	0	0	0	
4526	0		0	2	2	0	0	
4527	0		1	1	2	0	0	
4530	0		2	3	2	0	0	
4531	0		2	1	0	0	0	
4533	0		2	2	0	0	0	
4534	0		0	2	0	0	0	
4536	0		2	2	0	0	0	
4537	0		1	2	2	0	0	
4538	0		0	1	2	0	0	
4539	0		1	2	2	0	0	
4540	0		0	2	0	0	0	
4541	3	crash	1	2	2	0	0	
4542	0		2	2	2	0	0	
4543	3	crash	0	2	2	0	0	
4544	0		2	2	2	0	0	
4545	0		1	1	2	0	0	
4546	0		0	1	0	0	0	
4547	0		1	1	2	0	0	
4548	0		0	2	2	0	0	
4549	0		0	1	0	0	0	
4550	0		0	2	2	0	0	
4551	0		2	3	0	0	0	
4552	4	wrong-answer	2	3	3	2	0	
4553	0		0	3	2	0	0	
4554	0		2	2	0	0	0	
4555	0		0	2	2	0	0	
4556	4	wrong-answer	2	3	1	2	0	
4557	0		0	2	0	0	0	
4558	0		2	3	2	0	0	
4560	0		2	2	0	0	0	
4561	0		1	1	0	0	0	
4562	3	crash	2	2	2	0	0	
4563	0		0	2	0	0	0	
4564	0		1	2	0	0	0	
4565	0		2	2	2	0	0	
4566	0		2	1	2	0	0	
4567	3	crash	2	1	2	0	0	
4568	0		1	1	2	0	0	
4569	0		1	1	2	0	0	
4570	0		2	2	0	0	0	
4571	0		1	1	2	0	-3	
4572	0		1	2	2	0	0	
4573	0		2	2	0	0	0	
4574	4	wrong-answer	2	3	0	0	0	
4575	0		2	2	2	0	0	
4576	0		2	3	0	0	0	
4577	0		2	2	0	0	0	
4578	0		2	2	2	0	0	
4579	0		0	3	0	0	0	
4580	0		0	2	0	0	0	
4581	0		0	3	2	0	0	
4582	0		2	2	2	0	0	
4583	4	wrong-answer	2	2	2	0	0	
4584	0		2	3	1	2	0	
4585	0		2	3	0	0	0	
4586	0		0	3	0	0	0	
4587	0		2	1	2	0	0	
4589	0		0	2	2	0	0	
4590	0		0	3	2	0	0	
4591	0		2	2	2	0	0	
4592	0		0	3	0	0	-3	
4593	0		2	2	0	0	0	
4594	0		2	2	2	0	0	
4595	0		0	2	2	0	0	
4597	0		2	2	2	0	0	
4598	0		2	1	2	0	0	
4599	0		2	1	2	0	0	
4600	0		2	2	0	0	0	
4601	0		0	3	0	0	0	
4602	0		2	3	0	0	0	
4603	0		2	2	2	0	0	
4604	3	hang	2	2	0	0	0	
4605	0		0	2	0	0	0	
4606	0		2	1	0	0	0	
4607	0		2	2	0	0	0	
4608	0		2	3	0	0	0	
4610	0		2	1	0	0	0	
4611	0		0	2	2	0	-3	
4612	0		2	1	0	0	0	
4613	0		2	1	0	0	0	
4614	0		2	1	2	0	0	
4616	0		2	2	0	0	0	
4617	0		2	2	0	0	-3	4252
4618	0		2	2	2	0	0	
4619	0		2	1	2	0	-3	4472
4620	0		2	2	2	0	0	
4621	4	wrong-answer	2	2	2	0	0	
4622	0		2	2	2	0	0	
4623	0		0	3	0	0	0	
4624	0		2	3	2	0	0	
4625	3	crash	2	3	0	0	0	
4626	0		2	3	0	0	0	
4628	0		2	3	2	0	0	4435
4629	0		0	2	2	0	0	
4630	0		2	2	2	0	0	4462
4631	3	hang	2	2	2	0	0	
4632	0		2	2	2	0	0	
4633	4	wrong-answer	0	3	2	0	0	
4636	4	wrong-answer	2	3	2	0	0	
4637	3	crash	2	3	2	0	0	
4638	3	hang	2	3	2	0	0	
4639	3	crash	2	2	2	0	0	
4640	0		1	2	2	0	0	
4641	0		0	3	2	0	0	
4642	0		0	3	2	0	0	
4644	0		2	3	2	0	0	
4645	0		1	1	2	0	0	
4646	0		0	3	2	0	0	
4647	0		1	1	2	0	0	
4648	0		1	2	2	0	0	
4649	0		2	2	2	0	0	
4650	0		0	2	2	0	0	
4651	0		2	3	2	0	-2	
4652	0		0	2	2	0	0	
